Date,Time,Sample ID,Rain in Last 24HR,Water Level,Water Color,Water Temp (C),DO (mg/L),Pressure (mmHg),Conductivity (uS/cm),pH,NO3-N (mg/L),PO4-P (mg/L),Presence/Absence,RiverWays Colony Count Average (colonies/100mL)
8/3/2023,8:08 AM,CC-1.1,no,-,-,21.3,7.43,765.6,667,7.04,1.2,1.33,Present,200
8/3/2023,8:09 AM,CC-1.2,no,-,-,21.2,7.52,765.6,669,7.14,1.4,0.2,Present,466
8/3/2023,8:10 AM,CC-1.3,no,-,-,21.2,7.5,765.6,670,7.26,1,0.22,Present,400
8/8/2023,8:18 AM,CC-1.1,yes,4: Normal-high,Tea-stained,22.8,7.22,754.4,199.4,6.81,0.5,max,no data,-
8/8/2023,8:19 AM,CC-1.2,yes,4: Normal-high,Tea-stained,22.8,7.21,754.4,200.1,6.81,0.4,0.4,no data,-
8/8/2023,8:20,CC-1.3,yes,4: Normal-high,Tea-stained,22.8,7.15,754.4,200,6.84,0.5,0.43,no data,-
8/9/2023,7:49 AM,CC-1.1,no,3: Normal,Clear,22.1,6.78,757.3,397,6.94,0.8,0.21,no data,-
8/9/2023,7:50 AM,CC-1.2,no,3: Normal,Clear,22,6.81,757.3,398,6.96,0.7,0.2,no data,-
8/9/2023,7:51 AM,CC-1.3,no,3: Normal,Clear,22,6.77,757.3,398,7.03,0.9,0.35,no data,-
8/10/2023,8:11 AM,CC-1.1,no,3: Normal,Clear,22.8,6.89,755.1,551,7.04,1.1,1.26,Present,800
8/10/2023,8:12 AM,CC-1.2,no,3: Normal,Clear,22.8,6.94,755.1,553,7.13,1.2,0.2,Present,600
8/10/2023,8:13,CC-1.3,no,3: Normal,Clear,22.8,6.86,755.1,553,7.15,1.2,0.45,Present,333
8/14/2023,8:13 AM,CC-1.1,yes,3: Normal,Tea-stained,23.1,7.04,761.7,652,7.11,1,1.08,no data,-
8/14/2023,8:14 AM,CC-1.2,yes,3: Normal,Tea-stained,23.1,7.07,761.7,651,7.2,1.2,0.14,no data,-
8/14/2023,8:15 AM,CC-1.3,yes,3: Normal,Tea-stained,23.1,7.03,761.7,651,7.23,1.2,0.18,no data,-
8/15/2023,8:04 AM,CC-1.1,yes,4: Normal-high,Clear,24,6.85,755.9,666,7.11,1.3,1.36,Present,500
8/15/2023,8:05 AM,CC-1.2,yes,4: Normal-high,Clear,24.1,6.9,755.9,665,7.21,1.2,0.22,Present,467
8/15/2023,8:06,CC-1.3,yes,4: Normal-high,Clear,24.1,6.87,755.9,665,7.27,1.5,0.12,Present,433
8/16/2023,8:15 AM,CC-1.1,yes,5: High,Brown/Muddy,23.4,7.39,759.1,221,6.73,0.5,0.8,no data,-
8/16/2023,8:16 AM,CC-1.2,yes,5: High,Brown/Muddy,23.4,7.4,759.1,222,6.79,0.7,0.43,no data,-
8/16/2023,8:17 AM,CC-1.3,yes,5: High,Brown/Muddy,23.4,7.35,759.1,223,6.72,0.7,0.36,no data,-
8/29/2023,7:12 AM,CC-1.1,no,2: Normal-low,Clear,22.3,6.64,761.1,683,6.86,1.2,0.32,no data,-
8/29/2023,7:13 AM,CC-1.2,no,2: Normal-low,Clear,22.3,6.68,761.1,683,7,1.2,0.16,no data,-
8/29/2023,7:14,CC-1.3,no,2: Normal-low,Clear,22.4,6.67,761.1,682,7.21,1.2,0.27,no data,-
8/30/2023,8:02 AM,CC-1.1,yes,3: Normal,Clear,22.4,6.83,755.1,693,7.01,1.1,0.78,no data,-
8/30/2023,8:03 AM,CC-1.2,yes,3: Normal,Clear,22.5,6.84,755.1,693,7.16,1.3,0.35,no data,-
8/30/2023,8:03 AM,CC-1.3,yes,3: Normal,Clear,22.4,6.79,755.1,693,7.23,1.2,0.2,no data,-
8/31/2023,7:24 AM,CC-1.1,yes,3: Normal,Clear,21.6,5.78,759.2,636,6.83,1.6,0.17,Present,1567
8/31/2023,7:25 AM,CC-1.2,yes,3: Normal,Clear,21.5,5.77,759.2,636,6.92,1.4,0.11,Present,1967
8/31/2023,7:26 AM,CC-1.3,yes,3: Normal,Clear,21.5,5.76,759.2,636,7.01,1.1,0.13,Present,2033
9/5/2023,7:35 AM,CC-1.1,no,3: Normal,Clear,23.4,6.27,761,712,6.85,1.6,1.15,no data,-
9/5/2023,7:36 AM,CC-1.2,no,3: Normal,Clear,23.5,6.33,761,710,7.06,1.5,0.17,no data,-
9/5/2023,7:37 AM,CC-1.3,no,3: Normal,Clear,23.5,6.28,761,711,7.17,1.2,0.14,no data,-
9/6/2023,9:12 AM,CC-1.1,no,3: Normal,Clear,23.8,6.42,759.6,715,7.03,1.6,0.76,no data,-
9/6/2023,9:13 AM,CC-1.2,no,3: Normal,Clear,23.9,6.54,759.6,714,7.07,1.5,0.37,no data,-
9/6/2023,9:14 AM,CC-1.3,no,3: Normal,Clear,24,6.48,759.6,713,7.17,1.5,0.3,no data,-
9/7/2023,7:42 AM,CC-1.1,no,3: Normal,Clear,24,6.3,757.6,722,6.98,1.4,0.84,Present,200
9/7/2023,7:43 AM,CC-1.2,no,3: Normal,Clear,24.2,6.19,757.6,719,7.04,1.3,0.16,Present,133
9/7/2023,7:44 AM,CC-1.3,no,3: Normal,Clear,24.2,6.15,757.6,719,7.18,1.4,0.17,Present,100
9/12/2023,8:06 AM,CC-1.1,yes,4: Normal-high,Clear,22.3,6.51,762.7,405,6.88,0.9,1.04,no data,-
9/12/2023,8:07 AM,CC-1.2,yes,4: Normal-high,Clear,22.3,6.51,762.7,407,6.99,0.9,0.22,no data,-
9/12/2023,8:08 AM,CC-1.3,yes,4: Normal-high,Clear,22.3,6.46,762.7,406,7.02,0.9,0.23,no data,-
9/13/2023,8:01 AM,CC-1.1,yes,5: High,Clear,22.7,6.62,760.4,477,7.11,1.1,1.22,no data,-
9/13/2023,8:02 AM,CC-1.2,yes,5: High,Clear,22.8,6.64,760.4,479,7.14,1,0.25,no data,-
9/13/2023,8:03 AM,CC-1.3,yes,5: High,Clear,22.8,6.58,760.4,478,7.17,1.2,0.51,no data,-
9/14/2023,7:43 AM,CC-1.1,no,4: Normal-high,Clear,21.3,6.67,763.3,525,6.91,0.6,0.88,Present,267
9/14/2023,7:44 AM,CC-1.2,no,4: Normal-high,Clear,21.4,6.68,763.3,528,6.99,1,0.19,Present,300
9/14/2023,7:45,CC-1.3,no,4: Normal-high,Clear,21.4,6.64,763.3,528,7.1,1.1,0.2,Present,533
9/19/2023,7:47 AM,CC-1.1,yes,4: Normal-high,Clear,18.5,6.92,761.5,315,6.71,0.7,1.5,no data,-
9/19/2023,7:48 AM,CC-1.2,yes,4: Normal-high,Clear,18.4,6.96,761.5,318,6.75,0.7,0.17,no data,-
9/19/2023,7:49 AM,CC-1.3,yes,4: Normal-high,Clear,18.3,6.89,761.5,319,6.78,0.5,0.27,no data,-
9/20/2023,7:54 AM,CC-1.1,no,3: Normal,Clear,17.8,7.17,766.4,450,6.78,1,1.61,no data,-
9/20/2023,7:55 AM,CC-1.2,no,3: Normal,Clear,17.6,7.22,766.4,466,6.84,1,0.29,no data,-
9/20/2023,7:56 AM,CC-1.3,no,3: Normal,Clear,17.5,7.2,766.4,466,6.91,1,0.15,no data,-
9/21/2023,7:35 AM,CC-1.1,no,3: Normal,Clear,17.8,7.37,768.8,573,6.78,1.1,0.95,Present,500
9/21/2023,7:37 AM,CC-1.2,no,3: Normal,Clear,17.5,7.47,768.8,575,6.92,1.1,0.14,Present,600
9/21/2023,7:37 AM,CC-1.3,no,3: Normal,Clear,17.4,7.43,768.8,576,7.07,1.2,0.2,Present,
9/26/2023,7:52 AM,CC-1.1,yes,5: High,Clear,17.6,8.57,768.9,420,6.85,1.2,1.1,no data,-
9/26/2023,7:53 AM,CC-1.2,yes,5: High,Clear,17.4,8.6,768.9,423,7.09,1.1,0.2,no data,-
9/26/2023,7:54 AM,CC-1.3,yes,5: High,Clear,17.2,8.6,768.9,423,7.23,1.2,0.44,no data,-
9/28/2023,7:44 AM,CC-1.1,no,4: Normal-high,Clear,16.6,8.75,768.4,613,6.96,1.5,0.86,Present,333
9/28/2023,7:45 AM,CC-1.2,no,4: Normal-high,Clear,16.5,8.8,768.4,613,7.03,1.7,0.17,Present,167
9/28/2023,7:46 AM,CC-1.3,no,4: Normal-high,Clear,16.2,8.78,768.4,616,7.24,1.4,0.14,Present,267
10/3/2023,7:56 AM,CC-1.1,no,3: Normal,Clear,18.5,7.76,767.3,672,6.85,1.7,1.32,no data,-
10/3/2023,7:57 AM,CC-1.2,no,3: Normal,Clear,18.4,7.83,767.3,675,7.1,1.7,0.24,no data,-
10/3/2023,7:58 AM,CC-1.3,no,3: Normal,Clear,18.2,7.81,767.3,675,7.18,1.5,0.12,no data,-
10/4/2023,7:51 AM,CC-1.1,no,3: Normal,Clear,18.8,7.79,767.1,685,6.89,1.6,1.13,no data,-
10/4/2023,7:52 AM,CC-1.2,no,3: Normal,Clear,18.6,7.86,767.1,686,7.1,1.8,0.15,no data,-
10/4/2023,7:53 AM,CC-1.3,no,3: Normal,Clear,18.5,7.83,767.1,687,7.17,1.6,0.18,no data,-
10/10/2023,7:45 AM,CC-1.1,no,5: High,Clear,14.6,8.7,758.1,678,6.88,1.5,1.64,no data,--
10/10/2023,7:46 AM,CC-1.2,no,5: High,Clear,14.2,8.8,758.1,680,6.98,1.6,0.55,no data,-
10/10/2023,7:47 AM,CC-1.3,no,5: High,Clear,14,8.81,758.1,682,7.07,1.5,0.34,no data,-
10/11/2023,7:57 AM,CC-1.1,no,4: Normal-high,Clear,14.4,8.7,759.1,686,6.9,1.3,0.76,no data,-
10/11/2023,7:58 AM,CC-1.2,no,4: Normal-high,Clear,13.9,8.88,759.1,689,6.96,1.6,0.06,no data,-
10/11/2023,7:59 AM,CC-1.3,no,4: Normal-high,Clear,13.6,8.89,759.1,691,7.11,1.6,0.07,no data,-
10/17/2023,7:49 AM,CC-1.1,no,3: Normal,Clear,13.7,8.97,759.2,500,6.87,1.3,1.75,no data,-
10/17/2023,7:50 AM,CC-1.2,no,3: Normal,Clear,13.3,9.05,759.2,506,6.89,1.3,0.38,no data,-
10/17/2023,7:51 AM,CC-1.3,no,3: Normal,Clear,13.1,9.1,759.2,507,6.99,1.4,0.12,no data,-
10/18/2023,7:43 AM,CC-1.1,no,4: Normal-high,Clear,14.9,8.78,765.7,604,6.89,1.5,1.19,no data,-
10/18/2023,7:44 AM,CC-1.2,no,4: Normal-high,Clear,13.9,8.97,765.7,607,6.93,1.3,0.14,no data,-
10/18/2023,7:45 AM,CC-1.3,no,4: Normal-high,Clear,13.5,9.02,765.7,609,6.99,1.4,0.06,no data,-
10/24/2023,7:45 AM,CC-1.1,no,3: Normal,Clear,12.2,9.1,771.8,689,6.95,1.3,1.9,no data,-
10/24/2023,7:46 AM,CC-1.2,no,3: Normal,Clear,11.5,9.32,771.8,693,6.96,1.8,0.22,no data,-
10/24/2023,7:47 AM,CC-1.3,no,3: Normal,Clear,11.2,9.34,771.8,695,7.09,1.6,0.44,no data,-
10/25/2023,7:50 AM,CC-1.1,no,3: Normal,Clear,12.3,9.11,770.5,688,6.69,1.7,1.47,no data,-
10/25/2023,7:51 AM,CC-1.2,no,3: Normal,Clear,11.6,9.33,770.5,692,6.72,1.7,0.2,no data,-
10/25/2023,7:52 AM,CC-1.3,no,3: Normal,Clear,11.3,9.33,770.5,694,7,1.7,0.17,no data,-
10/26/2023,7:49 AM,CC-1.1,no,3: Normal,Clear,12.4,8.82,768.7,689,6.61,1.8,0.45,no data,-
10/26/2023,7:50 AM,CC-1.2,no,3: Normal,Clear,12.8,9.03,768.7,697,6.8,1.5,0.1,no data,-
10/26/2023,7:51 AM,CC-1.3,no,3: Normal,Clear,12.6,9.08,768.8,700,6.89,2,0.27,no data,-
10/31/2023,7:59 AM,CC-1.1,yes,4: Normal-high,Clear,14.5,7.92,765.3,689,6.88,1.6,1.04,no data,-
10/31/2023,8:00 AM,CC-1.2,yes,4: Normal-high,Clear,14.1,7.95,765.3,696,6.92,1.6,0.43,no data,-
10/31/2023,8:01 AM,CC-1.3,yes,4: Normal-high,Clear,14,7.94,765.3,698,7,1.5,0.24,no data,-
11/1/2023,7:50 AM,CC-1.1,yes,5: High,Clear,12.9,8.53,762.3,664,6.59,1.6,0.73,no data,-
11/1/2023,7:51 AM,CC-1.2,yes,5: High,Clear,12.4,8.63,762.3,673,6.67,1.3,0.17,no data,-
11/1/2023,7:52 AM,CC-1.3,yes,5: High,Clear,12.2,8.65,762.3,675,6.88,1.3,0.13,no data,-
11/2/2023,7:50 AM,CC-1.1,no,5: High,Clear,10.2,9.19,774.2,638,6.57,1.2,0.46,no data,-
11/2/2023,7:51 AM,CC-1.2,no,5: High,Clear,9.6,9.36,774.2,654,6.61,1.1,0.43,no data,-
11/2/2023,7:52 AM,CC-1.3,no,5: High,Clear,9.2,9.39,774.2,658,6.65,1.2,0.18,no data,-
,,CC-1.1,,4: Normal-high,,,,,,,,,,-
,,CC-1.2,,4: Normal-high,,,,,,,,,,-
,,CC-1.3,,4: Normal-high,,,,,,,,,,-
,,CC-1.1,,4: Normal-high,,,,,,,,,,-
,,CC-1.2,,4: Normal-high,,,,,,,,,,-
,,CC-1.3,,4: Normal-high,,,,,,,,,,-
,,CC-1.1,,4: Normal-high,,,,,,,,,,
,,CC-1.2,,4: Normal-high,,,,,,,,,,
,,CC-1.3,,4: Normal-high,,,,,,,,,,
,,CC-1.1,,4: Normal-high,,,,,,,,,,
,,CC-1.2,,4: Normal-high,,,,,,,,,,
,,CC-1.3,,4: Normal-high,,,,,,,,,,
,,CC-1.1,,4: Normal-high,,,,,,,,,,
,,CC-1.2,,4: Normal-high,,,,,,,,,,
,,CC-1.3,,4: Normal-high,,,,,,,,,,
,,CC-1.1,,4: Normal-high,,,,,,,,,,
,,CC-1.2,,4: Normal-high,,,,,,,,,,
,,CC-1.3,,4: Normal-high,,,,,,,,,,
,,CC-1.1,,4: Normal-high,,,,,,,,,,
,,CC-1.2,,4: Normal-high,,,,,,,,,,
,,CC-1.3,,4: Normal-high,,,,,,,,,,
